trial,degree,method,time_s,max_residual
0,3,hybrid,0.004811,6.280e-16
0,3,aberth,0.001170,9.155e-16
0,3,dk,0.000117,9.155e-16
1,3,hybrid,0.004923,4.743e-16
1,3,aberth,0.001136,4.003e-16
1,3,dk,0.000119,4.743e-16
2,3,hybrid,0.004722,1.514e-15
2,3,aberth,0.001195,1.514e-15
2,3,dk,0.000115,1.691e-15
3,3,hybrid,0.004910,2.776e-16
3,3,aberth,0.001234,2.776e-16
3,3,dk,0.000122,2.776e-16
4,3,hybrid,0.004902,7.850e-17
4,3,aberth,0.001175,1.755e-16
4,3,dk,0.000126,1.755e-16
0,5,hybrid,0.008373,1.831e-15
0,5,aberth,0.002953,2.887e-15
0,5,dk,0.000374,2.512e-15
1,5,hybrid,0.008578,1.780e-15
1,5,aberth,0.002599,1.780e-15
1,5,dk,0.000285,2.811e-15
2,5,hybrid,0.007235,3.820e-15
2,5,aberth,0.002643,3.820e-15
2,5,dk,0.000304,3.202e-15
3,5,hybrid,0.007703,5.661e-16
3,5,aberth,0.003031,5.661e-16
3,5,dk,0.000253,5.661e-16
4,5,hybrid,0.008113,3.867e-15
4,5,aberth,0.003099,5.422e-15
4,5,dk,0.000330,5.422e-15
0,8,hybrid,0.020972,2.809e-14
0,8,aberth,0.009418,7.000e-14
0,8,dk,0.001473,7.000e-14
1,8,hybrid,0.015482,1.713e-14
1,8,aberth,0.006843,2.844e-14
1,8,dk,0.000998,2.844e-14
2,8,hybrid,0.016979,6.263e-14
2,8,aberth,0.007253,4.151e-14
2,8,dk,0.001239,3.633e-14
3,8,hybrid,0.014957,3.163e-14
3,8,aberth,0.008090,3.756e-14
3,8,dk,0.001058,2.824e-14
4,8,hybrid,0.018444,1.284e-13
4,8,aberth,0.008445,4.840e-14
4,8,dk,0.001486,4.669e-14
