case,method,time_s,max_residual,newton_iters,polish_iters
double_root,hybrid,0.004107,4.441e-16,,1
double_root,aberth,0.000526,1.676e-23,,1
double_root,newton,0.000080,4.441e-16,87,1
cluster_eps_1e-12,hybrid,0.003878,1.437e-38,,1
cluster_eps_1e-12,aberth,0.000619,4.795e-40,,1
cluster_eps_1e-12,newton,0.000085,4.136e-25,96,1
cluster_eps_1e-10,hybrid,0.003690,5.910e-40,,1
cluster_eps_1e-10,aberth,0.000500,2.360e-39,,1
cluster_eps_1e-10,newton,0.000082,4.136e-25,96,1
cluster_eps_1e-08,hybrid,0.003752,4.441e-16,,1
cluster_eps_1e-08,aberth,0.000483,4.441e-16,,1
cluster_eps_1e-08,newton,0.000082,1.242e-48,95,1
cluster_eps_1e-06,hybrid,0.003376,6.571e-41,,1
cluster_eps_1e-06,aberth,0.000572,6.108e-41,,1
cluster_eps_1e-06,newton,0.000076,1.285e-60,81,1
cluster_eps_0.0001,hybrid,0.003242,2.220e-16,,1
cluster_eps_0.0001,aberth,0.000579,2.220e-16,,1
cluster_eps_0.0001,newton,0.000064,1.660e-60,63,1
ill_scaled,hybrid,0.002916,5.567e-14,,1
ill_scaled,aberth,0.000655,5.567e-14,,1
ill_scaled,newton,0.000066,4.442e-14,68,1
rotated_cluster,hybrid,0.007046,3.331e-16,,1
rotated_cluster,aberth,0.001145,1.119e-16,,1
rotated_cluster,newton,0.000222,2.220e-16,320,1
near_t_one,hybrid,0.002603,2.208e-15,,1
near_t_one,aberth,0.000809,3.147e-16,,1
near_t_one,newton,0.000092,3.147e-16,72,1
