degree,trial,method,time_s,max_residual
3,0,hybrid,0.003074,1.570e-16
3,0,newton,0.000027,1.570e-16
3,0,aberth,0.000386,1.570e-16
3,1,hybrid,0.002447,1.570e-16
3,1,newton,0.000026,3.331e-16
3,1,aberth,0.000404,2.220e-16
3,2,hybrid,0.002782,3.511e-16
3,2,newton,0.000026,3.511e-16
3,2,aberth,0.000419,3.511e-16
5,0,hybrid,0.005959,2.318e-15
5,0,newton,0.000056,9.421e-16
5,0,aberth,0.001000,1.422e-15
5,1,hybrid,0.005840,1.332e-15
5,1,newton,0.000065,1.373e-15
5,1,aberth,0.000989,1.422e-15
5,2,hybrid,0.006336,6.280e-15
5,2,newton,0.000067,3.202e-15
5,2,aberth,0.001143,5.421e-15
8,0,hybrid,0.013217,6.534e-15
8,0,newton,0.000142,1.012e-14
8,0,aberth,0.002206,1.012e-14
8,1,hybrid,0.011941,1.373e-14
8,1,newton,0.000133,1.217e-14
8,1,aberth,0.002098,6.573e-15
8,2,hybrid,0.015987,1.402e-14
8,2,newton,0.000197,2.862e-14
8,2,aberth,0.002772,1.306e-14
12,0,hybrid,0.032374,1.160e-12
12,0,newton,0.000406,6.168e-13
12,0,aberth,0.005364,6.168e-13
12,1,hybrid,0.026809,2.078e-13
12,1,newton,0.000429,9.071e-13
12,1,aberth,0.005216,6.151e-13
12,2,hybrid,0.035549,8.849e-13
12,2,newton,0.000683,1.302e-12
12,2,aberth,0.006964,1.272e-12
