degree,trial,method,time_s,max_residual
3,0,hybrid,0.005098,1.570e-16
3,0,newton,0.000019,1.570e-16
3,1,hybrid,0.004491,1.570e-16
3,1,newton,0.000019,3.331e-16
3,2,hybrid,0.004554,3.724e-16
3,2,newton,0.000014,3.511e-16
3,3,hybrid,0.004248,9.930e-16
3,3,newton,0.000017,9.930e-16
3,4,hybrid,0.004214,2.483e-16
3,4,newton,0.000013,2.483e-16
5,0,hybrid,0.008109,1.691e-15
5,0,newton,0.000037,9.930e-16
5,1,hybrid,0.008185,2.931e-15
5,1,newton,0.000043,1.887e-15
5,2,hybrid,0.008503,9.241e-15
5,2,newton,0.000050,5.617e-15
5,3,hybrid,0.008371,8.006e-16
5,3,newton,0.000030,6.661e-16
5,4,hybrid,0.007766,4.257e-15
5,4,newton,0.000045,3.427e-15
8,0,hybrid,0.016510,7.946e-15
8,0,newton,0.000101,6.534e-15
8,1,hybrid,0.015097,1.217e-14
8,1,newton,0.000097,1.217e-14
8,2,hybrid,0.017652,1.402e-14
8,2,newton,0.000156,8.296e-15
8,3,hybrid,0.014201,3.233e-15
8,3,newton,0.000086,3.233e-15
8,4,hybrid,0.014529,9.756e-15
8,4,newton,0.000109,2.103e-14
12,0,hybrid,0.020341,6.168e-13
12,0,newton,0.000313,6.168e-13
12,1,hybrid,0.028771,2.078e-13
12,1,newton,0.000328,9.073e-13
12,2,hybrid,0.037691,7.038e-13
12,2,newton,0.000554,1.302e-12
12,3,hybrid,0.037563,4.153e-13
12,3,newton,0.000445,4.153e-13
12,4,hybrid,0.028780,2.803e-14
12,4,newton,0.000263,8.413e-14
16,0,hybrid,0.140775,7.835e-11
16,0,newton,0.001930,1.193e-10
16,1,hybrid,0.074224,7.406e-12
16,1,newton,0.001208,7.406e-12
16,2,hybrid,0.083307,1.190e-11
16,2,newton,0.001099,1.133e-12
16,3,hybrid,0.056051,4.269e-11
16,3,newton,0.001760,3.088e-11
16,4,hybrid,0.164808,5.881e-11
16,4,newton,0.001701,2.698e-11
20,0,hybrid,0.088188,2.607e-10
20,0,newton,0.003056,3.189e-10
20,1,hybrid,0.139715,3.457e-11
20,1,newton,0.002542,5.045e-10
20,2,hybrid,0.084217,7.988e-10
20,2,newton,0.002456,1.209e-09
20,3,hybrid,0.094778,1.676e-10
20,3,newton,0.003467,1.545e-10
20,4,hybrid,0.150264,8.338e-11
20,4,newton,0.002709,1.243e-10
