degree,trial,method,time_s,max_residual
3,0,hybrid,0.003489,1.570e-16
3,0,newton,0.000031,1.570e-16
3,0,aberth,0.000433,1.570e-16
3,1,hybrid,0.002713,2.483e-16
3,1,newton,0.000027,3.331e-16
3,1,aberth,0.000432,3.511e-16
3,2,hybrid,0.002992,3.511e-16
3,2,newton,0.000025,3.511e-16
3,2,aberth,0.000415,3.724e-16
3,3,hybrid,0.003266,8.006e-16
3,3,newton,0.000024,9.930e-16
3,3,aberth,0.000422,1.601e-15
3,4,hybrid,0.002579,2.483e-16
3,4,newton,0.000022,2.483e-16
3,4,aberth,0.000400,2.483e-16
5,0,hybrid,0.006088,2.318e-15
5,0,newton,0.000056,9.421e-16
5,0,aberth,0.000980,9.930e-16
5,1,hybrid,0.006179,1.510e-15
5,1,newton,0.000064,1.373e-15
5,1,aberth,0.000990,1.337e-15
5,2,hybrid,0.006514,5.617e-15
5,2,newton,0.000071,3.202e-15
5,2,aberth,0.001220,5.421e-15
5,3,hybrid,0.005831,8.006e-16
5,3,newton,0.000051,6.661e-16
5,3,aberth,0.000949,8.006e-16
5,4,hybrid,0.006687,2.521e-15
5,4,newton,0.000072,5.561e-15
5,4,aberth,0.001064,2.710e-15
8,0,hybrid,0.012388,7.776e-15
8,0,newton,0.000131,1.012e-14
8,0,aberth,0.002157,6.534e-15
8,1,hybrid,0.013052,1.217e-14
8,1,newton,0.000144,1.217e-14
8,1,aberth,0.002140,6.573e-15
8,2,hybrid,0.014847,1.402e-14
8,2,newton,0.000204,2.862e-14
8,2,aberth,0.002816,1.306e-14
8,3,hybrid,0.013729,4.955e-15
8,3,newton,0.000127,3.233e-15
8,3,aberth,0.002224,3.233e-15
8,4,hybrid,0.011922,2.280e-14
8,4,newton,0.000141,1.408e-14
8,4,aberth,0.002221,1.408e-14
12,0,hybrid,0.029778,6.168e-13
12,0,newton,0.000378,6.168e-13
12,0,aberth,0.005422,6.168e-13
12,1,hybrid,0.027079,2.078e-13
12,1,newton,0.000376,9.071e-13
12,1,aberth,0.005318,6.151e-13
12,2,hybrid,0.039104,8.849e-13
12,2,newton,0.000664,1.302e-12
12,2,aberth,0.007043,1.272e-12
12,3,hybrid,0.032606,3.970e-13
12,3,newton,0.000531,6.082e-13
12,3,aberth,0.007857,4.417e-13
12,4,hybrid,0.026319,2.803e-14
12,4,newton,0.000352,2.803e-14
12,4,aberth,0.005220,2.803e-14
16,0,hybrid,0.080041,7.345e-11
16,0,newton,0.001836,7.005e-11
16,0,aberth,0.014335,8.248e-11
16,1,hybrid,0.072524,7.406e-12
16,1,newton,0.001429,7.964e-12
16,1,aberth,0.014576,7.406e-12
16,2,hybrid,0.070507,1.721e-11
16,2,newton,0.001368,3.578e-12
16,2,aberth,0.013283,2.161e-11
16,3,hybrid,0.078963,3.714e-11
16,3,newton,0.001928,8.805e-12
16,3,aberth,0.014310,2.859e-11
16,4,hybrid,0.078697,9.367e-11
16,4,newton,0.001905,8.193e-11
16,4,aberth,0.014263,1.420e-10
20,0,hybrid,0.116237,1.658e-10
20,0,newton,0.003484,2.607e-10
20,0,aberth,0.021092,1.058e+03
20,1,hybrid,0.118377,9.401e-11
20,1,newton,0.002936,1.820e-10
20,1,aberth,0.021355,2.256e-10
20,2,hybrid,0.116982,7.539e-10
20,2,newton,0.002764,5.312e-10
20,2,aberth,0.021993,8.379e-10
20,3,hybrid,0.113984,1.487e+01
20,3,newton,0.003753,1.658e-10
20,3,aberth,0.021102,2.423e+08
20,4,hybrid,0.119519,1.985e-10
20,4,newton,0.002684,6.320e-11
20,4,aberth,0.021031,2.451e-10
