trial,degree,method,time_s,max_residual
0,3,hybrid,0.003524,9.155e-16
0,3,aberth,0.001165,4.965e-16
0,3,dk,0.000107,9.155e-16
1,3,hybrid,0.002906,4.003e-16
1,3,aberth,0.001116,4.743e-16
1,3,dk,0.000107,3.140e-16
2,3,hybrid,0.003056,1.666e-15
2,3,aberth,0.001095,1.666e-15
2,3,dk,0.000103,1.490e-15
3,3,hybrid,0.002858,2.776e-16
3,3,aberth,0.001211,2.776e-16
3,3,dk,0.000110,2.776e-16
4,3,hybrid,0.002986,1.755e-16
4,3,aberth,0.001131,1.665e-16
4,3,dk,0.000117,1.241e-16
0,5,hybrid,0.006201,9.930e-16
0,5,aberth,0.002797,2.512e-15
0,5,dk,0.000336,4.965e-15
1,5,hybrid,0.005440,1.780e-15
1,5,aberth,0.002577,2.811e-15
1,5,dk,0.000267,1.780e-15
2,5,hybrid,0.005326,3.202e-15
2,5,aberth,0.002600,3.202e-15
2,5,dk,0.000287,3.820e-15
3,5,hybrid,0.005257,5.661e-16
3,5,aberth,0.002890,5.661e-16
3,5,dk,0.000265,5.661e-16
4,5,hybrid,0.005682,3.867e-15
4,5,aberth,0.003051,5.422e-15
4,5,dk,0.000345,5.422e-15
0,8,hybrid,0.015819,5.657e-14
0,8,aberth,0.009217,6.861e-14
0,8,dk,0.001483,6.179e-14
1,8,hybrid,0.013047,2.768e-14
1,8,aberth,0.006767,2.844e-14
1,8,dk,0.000964,2.844e-14
2,8,hybrid,0.013280,5.122e-14
2,8,aberth,0.007131,3.633e-14
2,8,dk,0.001227,4.151e-14
3,8,hybrid,0.012396,4.543e-14
3,8,aberth,0.008074,2.491e-14
3,8,dk,0.001084,1.908e-14
4,8,hybrid,0.016335,2.168e-13
4,8,aberth,0.007823,8.251e-14
4,8,dk,0.001482,8.251e-14
0,12,hybrid,0.036784,1.281e-12
0,12,aberth,0.023537,1.281e-12
0,12,dk,0.005368,1.281e-12
1,12,hybrid,0.030626,4.499e-13
1,12,aberth,0.021313,4.998e-13
1,12,dk,0.004023,4.998e-13
2,12,hybrid,0.035793,4.515e-13
2,12,aberth,0.020971,1.255e-12
2,12,dk,0.004787,1.171e-12
3,12,hybrid,0.029873,3.865e-13
3,12,aberth,0.017937,7.249e-13
3,12,dk,0.003670,9.989e-13
4,12,hybrid,0.035104,8.176e-13
4,12,aberth,0.021183,1.538e-12
4,12,dk,0.004624,7.955e-13
0,16,hybrid,0.077001,1.925e-11
0,16,aberth,0.042622,1.497e-11
0,16,dk,0.012804,1.781e-11
1,16,hybrid,0.065728,7.712e-12
1,16,aberth,0.038543,7.355e-12
1,16,dk,0.008940,7.355e-12
2,16,hybrid,0.077376,1.651e-11
2,16,aberth,0.043484,1.651e-11
2,16,dk,0.011976,1.929e-11
3,16,hybrid,0.079819,2.034e-11
3,16,aberth,0.044539,3.153e-11
3,16,dk,0.015628,4.267e-11
4,16,hybrid,0.079992,7.150e-11
4,16,aberth,0.042599,3.781e-11
4,16,dk,0.074418,8.063e-11
0,20,hybrid,0.115959,3.131e+06
0,20,aberth,0.062648,4.360e+11
0,20,dk,0.030250,3.234e-10
1,20,hybrid,0.116601,1.566e-10
1,20,aberth,0.061656,1.173e-10
1,20,dk,0.021078,1.686e-10
2,20,hybrid,0.112858,3.070e+07
2,20,aberth,0.062721,3.213e+12
2,20,dk,0.031118,4.671e-10
3,20,hybrid,0.115123,1.553e+03
3,20,aberth,0.063026,1.060e+08
3,20,dk,0.111277,1.406e-09
4,20,hybrid,0.116120,8.046e+15
4,20,aberth,0.062603,8.165e+20
4,20,dk,0.110776,2.756e-09
