degree,method,time_mean,time_median,time_std,res_mean,res_median,res_std,success_rate
3,aberth,0.001144,0.001131,0.000041,6.162e-16,4.743e-16,5.392e-16,1.00
3,dk,0.000109,0.000107,0.000005,6.242e-16,3.140e-16,5.101e-16,1.00
3,hybrid,0.003066,0.002986,0.000239,6.870e-16,4.003e-16,5.517e-16,1.00
5,aberth,0.002783,0.002797,0.000179,2.903e-15,2.811e-15,1.553e-15,1.00
5,dk,0.000300,0.000287,0.000034,3.311e-15,3.820e-15,1.862e-15,1.00
5,hybrid,0.005581,0.005440,0.000342,2.082e-15,1.780e-15,1.266e-15,1.00
8,aberth,0.007802,0.007823,0.000848,4.816e-14,3.633e-14,2.310e-14,1.00
8,dk,0.001248,0.001227,0.000209,4.667e-14,4.151e-14,2.295e-14,1.00
8,hybrid,0.014175,0.013280,0.001588,7.954e-14,5.122e-14,6.932e-14,1.00
12,aberth,0.020988,0.021183,0.001786,1.060e-12,1.255e-12,3.851e-13,1.00
12,dk,0.004494,0.004624,0.000595,9.492e-13,9.989e-13,2.783e-13,1.00
12,hybrid,0.033636,0.035104,0.002826,6.773e-13,4.515e-13,3.381e-13,1.00
16,aberth,0.042357,0.042622,0.002035,2.163e-11,1.651e-11,1.126e-11,1.00
16,dk,0.024753,0.012804,0.024924,3.355e-11,1.929e-11,2.622e-11,1.00
16,hybrid,0.075983,0.077376,0.005271,2.706e-11,1.925e-11,2.266e-11,1.00
20,aberth,0.062531,0.062648,0.000462,1.633e+20,4.360e+11,3.266e+20,0.20
20,dk,0.060900,0.031118,0.041080,1.024e-09,4.671e-10,9.673e-10,1.00
20,hybrid,0.115332,0.115959,0.001326,1.609e+15,3.131e+06,3.218e+15,0.20
